ACTECON;GRUANALI;antiguedad;TAMAEMP;nrotrab;riesgo;categoria;lineanegocio;modular;producto;fechainicio
9;5;23;2;327;2;6;1;1;3;2021-05-03T00:00:00.0000000
9;5;23;2;327;2;6;1;2;3;2021-09-11T00:00:00.0000000
9;5;23;2;327;2;6;1;2;3;2021-11-19T00:00:00.0000000
9;5;23;2;327;2;6;1;2;3;2021-12-22T00:00:00.0000000
9;5;23;2;327;2;6;1;2;0;2021-06-01T00:00:00.0000000
9;5;23;2;327;2;6;1;2;0;2021-08-02T00:00:00.0000000
9;5;23;2;327;2;6;1;1;0;2021-08-15T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-04-26T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-06-15T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-06-16T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-06-18T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-07-07T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-07-27T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-07-30T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-08-05T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-10-22T00:00:00.0000000
19;9;17;2;51;1;6;1;2;7;2021-10-22T00:00:00.0000000
19;9;17;2;51;1;6;1;2;7;2021-12-06T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2021-12-06T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2022-01-20T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2022-01-21T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2022-02-16T00:00:00.0000000
19;9;17;2;51;1;6;1;1;7;2022-02-16T00:00:00.0000000
27;4;25;2;275;1;7;1;2;3;2022-01-22T00:00:00.0000000
27;4;25;2;275;1;7;1;2;3;2021-07-22T00:00:00.0000000
27;4;25;2;275;1;7;1;2;3;2021-12-01T00:00:00.0000000
27;4;25;2;275;1;7;1;2;3;2021-12-30T00:00:00.0000000
27;4;25;2;275;1;7;1;2;3;2021-04-20T00:00:00.0000000
27;4;25;2;275;1;7;2;1;1;2021-06-16T00:00:00.0000000
16;13;16;2;144;0;0;1;1;7;2021-12-24T00:00:00.0000000
16;13;16;2;144;0;0;1;1;7;2021-12-24T00:00:00.0000000
91;5;31;2;10;2;4;1;1;3;2021-05-26T00:00:00.0000000
91;5;31;2;10;2;4;1;1;3;2021-07-06T00:00:00.0000000
91;5;31;2;10;2;4;4;2;6;2021-05-27T00:00:00.0000000
91;5;31;2;10;2;4;4;1;5;2021-06-01T00:00:00.0000000
91;5;31;2;10;2;4;1;1;10;2021-06-01T00:00:00.0000000
17;4;21;2;27;3;2;4;1;6;2021-12-04T00:00:00.0000000
17;4;21;2;27;3;2;1;1;7;2021-04-21T00:00:00.0000000
8;4;22;2;30;0;0;1;1;3;2022-01-26T00:00:00.0000000
8;4;22;2;30;0;0;1;2;7;2022-01-01T00:00:00.0000000
